# id	left	top	right	bottom	texture_id
[SPRITES]
# ORDER: 
# FIRST ROW - LEFT TO RIGHT
# SECOND ROW - also mid row
# THIRD ROW
# COLOR 1 = WHITE , 2 = GREEN , 3 = PINK, 4 = BLUE

###WHITE BRICK
91001	1	1	16	16	30
91002	18	1	33	16	30
91003	36	1	51	16	30

91011	1	18	16	33	30
91012	18	18	33	33	30
91013	36	18	51	33	30

91021	1	36	16	51	30
91022	19	36	34	51	30
91023	36	36	51	51	30

### GREEN BRICK
92001	52	1	67	16	30
92002	69	1	84	16	30
92003	85	1	102	16	30

92011	52	18	67	33	30
92012	69	18	84	33	30
92013	87	18	102	33	30

92021	52	36	67	51	30
92022	69	36	84	51	30
92023	87	36	102	51	30
### PINK BRICK
93001	1	52	16	67	30
93002	18	52	33	67	30
93003	36	52	51	67	30

93011	1	69	16	84	30
93012	18	69	33	84	30
93013	36	69	51	84	30

93021	1	87	16	102	30
93022	19	87	34	102	30
93023	36	87	51	102	30
### BLUE BRICK
94001	52	52	67	67	30
94002	69	52	84	67	30
94003	87	52	102	67	30

94011	52	69	67	84	30
94012	69	69	84	84	30
94013	87	69	102	84	30

94021	52	87	67	102	30
94022	69	87	84	102	30
94023	87	87	102	102	30

