[ASSETS]
overworld_object.txt
backgroundItems.txt
mario.txt
[VARIABLES]
0	0	0	0	0	0
[OBJECTS]
#BG
7	65	65	15	15	1	1009999	-1	-1
7	210	65	15	15	1	1009999	-1	-1
7	65	210	15	15	1	1009999	-1	-1
7	210	210	15	15	1	1009999	-1	-1

#Back ground items
7	65	191	15	15	1	600006	-1	-1
7	-15	191	15	15	1	600006	-1	-1
7	150	191	15	15	1	600006	-1	-1
7	210	191	15	15	1	600006	-1	-1
7	270	191	15	15	1	600006	-1	-1

#Hem
7	115	7	15	15	1	600008	-1	-1
7	355	7	15	15	1	600008	-1	-1

#Clouds
7	45	65	15	15	1	600009	-1	-1
7	280	45	15	15	1	600009	-1	-1
7	15	85	15	15	1	600013	-1	-1
#Title
7	160	73	15	15	1	600010	-1	-1

#Left bush
7	30	145	15	15	1	600011	-1	-1
#Right bush
7	280	126	15	15	1	600012	-1	-1
#Choice
300	155	145
#Nitendo line
7	159	165	15	15	1	600007	-1	-1
